sku,option_pn,pn_type
351109-B21,351109-B21,option
351126-001,350964-B22,spare
351200-041,351109-B21,assembly
351518-001,351580-B21,spare
351580-B21,351580-B21,option
351656-001,354557-B21,spare
351657-001,354560-B21,spare
351658-001,354563-B21,spare
352311-001,"345321-B21, 345627-B21, 346988-B21, 351052-B21",spare
352312-001,"345322-B21, 346989-B21, 351051-B21",spare
352313-001,"344287-B21, 345323-B21, 346990-B21, 351050-B21",spare
352567-B21,352567-B21,option
352568-B21,352568-B21,option
353042-001,349237-B21,spare
353043-001,411275-B21,spare
353044-001,349239-B21,spare
353377-B21,353377-B21,option
353446-001,353377-B21,spare
353454-001,351109-B21,spare
353831-B21,353831-B21,option
354052-B21,354052-B21,option
354053-B21,354053-B21,option
354557-B21,354557-B21,option
354560-B21,354560-B21,option
354563-B21,354563-B21,option
354582-B21,354582-B21,option
354583-B21,354583-B21,option
354606-B21,354606-B21,option
355190-003,355521-B21,spare
355520-B21,355520-B21,option
355521-B21,355521-B21,option
355522-B21,355522-B21,option
355523-B21,355523-B21,option
355525-B21,355525-B21,option
355671-B21,355671-B21,option
355928-B21,355928-B21,option
356534-001,352568-B21,spare
356536-002,411276-B21,assembly
356910-001,286714-B22,assembly
356910-002,286716-B22,assembly
356910-003,350964-B22,assembly
356910-004,332751-B21,assembly
356910-005,356990-B21,assembly
356910-007,286714-B22,assembly
356910-008,286716-B22,assembly
356910-009,350964-B22,assembly
356910-010,332751-B21,assembly
356910-011,356990-B21,assembly
356914-001,286776-B22,assembly
356914-002,286778-B22,assembly
356914-003,347708-B22,assembly
356914-004,357012-B21,assembly
356914-008,286778-B22,assembly
356914-009,347708-B22,assembly
356914-010,357012-B21,assembly
356963-B21,356963-B21,option
356990-B21,356990-B21,option
357012-B21,357012-B21,option
357913-001,357012-B21,spare
357915-001,356990-B21,spare
358344-B21,358344-B21,option
358345-B21,358345-B21,option
358347-B21,358347-B21,option
358348-B21,358348-B21,option
358349-B21,358349-B21,option
359047-B21,359047-B21,option
359241-001,"343055-B21, 384163-B21",spare
359242-001,343056-B21,spare
359243-001,343057-B21,spare
359384-B21,359384-B21,option
359559-B21,359559-B21,option
359650-001,"352567-B21, 359384-B21",spare
359708-B21,359708-B21,option
359771-001,359708-B21,spare
360040-B21,360040-B21,option
360205-002,336357-B21,assembly
360205-003,128417-B21,assembly
360205-005,142671-B22,assembly
360205-006,142673-B22,assembly
360205-007,286713-B22,assembly
360205-009,142672-B21,assembly
360205-010,142674-B21,assembly
360205-011,271832-B21,assembly
360205-012,286714-B22,assembly
360205-012-ML100,377537-B21,assembly
360205-013,286716-B22,assembly
360205-013-ML100,371535-B21,assembly
360205-014,350964-B22,assembly
360205-015,332751-B21,assembly
360205-016,356990-B21,assembly
360205-019,142672-B21,assembly
360205-020,142674-B21,assembly
360205-021,286714-B22,assembly
360205-022,286716-B22,assembly
360205-023,350964-B22,assembly
360205-024,332751-B21,assembly
360205-025,356990-B21,assembly
360209-001,188120-B22,assembly
360209-002,286775-B22,assembly
360209-003,286776-B22,assembly
360209-003-ML100,371534-B21,assembly
360209-004,286778-B22,assembly
360209-005,347708-B22,assembly
360209-006,357012-B21,assembly
360209-009,286776-B22,assembly
360209-010,286778-B22,assembly
360209-011,347708-B22,assembly
360209-012,357012-B21,assembly
360209-013,286778-B22,assembly
360209-014,347708-B22,assembly
360223-001,353831-B21,spare
361021-145,361037-B21,assembly
361022-145,361038-B21,assembly
361023-145,361039-B21,assembly
